# x, y, z, vx, vy, vz, species
6.14137 13.4605 9.44735 0.0359747 0.0156923 0.020659 0
7.70303 7.95039 12.245 0.000579688 -0.00020722 -4.56422e-05 1
1.16916 12.0859 4.3975 -0.0245485 0.00836552 -0.00402671 0
4.0651 3.14016 8.0842 0.000288063 0.000229511 -0.000389248 1
9.03568 14.1049 8.9008 0.00654325 -0.00120705 0.00980709 0
12.9096 15.3999 15.1099 5.26278e-06 -0.00024289 -5.66575e-05 1
5.22259 1.42108 10.129 0.0118275 0.0102176 -0.0044926 0
14.5732 9.99876 5.37279 0.000330609 0.000267094 -0.000101088 1
0.691068 13.1963 5.6286 0.0155152 -0.0108085 0.0326934 0
15.5918 12.4761 1.82834 -0.000120304 -3.99163e-05 2.07484e-05 1
7.64088 3.00237 7.95238 0.00631679 0.00856154 0.0187407 0
3.48652 10.3235 6.74982 -0.000186942 0.000255401 0.00024995 1
13.1847 8.4491 13.083 -0.0101066 -0.0100808 0.00308577 0
11.5233 1.70323 2.2383 3.31099e-05 -0.000205414 -0.00020141 1
11.7178 4.17653 10.1269 -0.00491724 -0.000561999 -0.0147284 0
12.3338 6.75207 5.6623 -7.53387e-05 -4.90942e-05 3.75263e-05 1
1.11997 13.3967 7.00077 -0.0092417 0.0024686 0.0028591 0
6.34767 15.2651 2.15595 0.00012614 -4.98938e-05 -0.000409722 1
8.47826 2.42397 13.4067 0.00365979 -0.0147174 0.0107376 0
5.6197 6.61006 11.2766 -0.000505344 0.000535077 -0.000218164 1
1.23014 1.24579 0.0690264 -0.00255677 0.000522569 -0.00801478 0
8.34233 1.39018 15.3325 0.000135438 0.000273054 0.000178683 1
12.1598 11.5804 10.104 0.000965729 0.000840958 0.0016395 0
0.706978 9.41826 15.9868 3.00921e-05 0.000596304 -0.000271407 1
4.90211 1.857 11.6863 -0.0216775 -0.0111843 -0.00320548 0
11.9242 0.87896 7.28731 0.000305927 9.48169e-05 0.00047786 1
10.1967 5.76036 8.95238 -0.0505817 -0.0298052 -0.0128979 0
6.46571 9.15979 12.8683 -0.000636994 6.20104e-05 0.000456192 1
11.8178 8.22046 6.76544 -0.0156392 -0.0298939 -0.0223922 0
0.0043752 2.96628 6.14947 5.02314e-05 -7.23312e-05 0.000601734 1
4.43354 6.36753 1.50481 0.0289246 -0.00796606 -0.0290855 0
13.6408 11.4484 9.4268 -0.000442516 -5.29232e-05 0.000108588 1
0.432181 1.62445 6.28495 -0.0674491 -0.0162847 0.0370102 0
14.1478 9.61127 14.4592 6.17494e-05 -0.000144736 -3.57332e-05 1
13.4834 3.65747 13.2449 0.0107053 -0.00757102 -0.0117063 0
3.46237 8.2926 9.55235 0.000116484 4.43653e-05 -0.000394097 1
8.38849 7.79857 15.7991 0.0216449 -0.030461 -0.0333023 0
0.561057 14.3167 13.7568 0.000319751 -0.000207631 -0.000523626 1
